total_landmarks,elapsed_time
6.000000000000000000e+00,8.983612060546875000e-04
6.000000000000000000e+00,8.978843688964843750e-04
6.000000000000000000e+00,9.646415710449218750e-04
6.000000000000000000e+00,8.931159973144531250e-04
6.000000000000000000e+00,9.293556213378906250e-04
6.000000000000000000e+00,1.053810119628906250e-03
6.000000000000000000e+00,8.988380432128906250e-04
6.000000000000000000e+00,8.974075317382812500e-04
6.000000000000000000e+00,9.057521820068359375e-04
6.000000000000000000e+00,1.054286956787109375e-03
6.000000000000000000e+00,9.229183197021484375e-04
6.000000000000000000e+00,8.947849273681640625e-04
6.000000000000000000e+00,8.893013000488281250e-04
6.000000000000000000e+00,8.864402770996093750e-04
6.000000000000000000e+00,9.076595306396484375e-04
6.000000000000000000e+00,9.479522705078125000e-04
6.000000000000000000e+00,9.992122650146484375e-04
6.000000000000000000e+00,8.952617645263671875e-04
6.000000000000000000e+00,9.429454803466796875e-04
6.000000000000000000e+00,8.974075317382812500e-04
6.000000000000000000e+00,9.233951568603515625e-04
6.000000000000000000e+00,9.393692016601562500e-04
6.000000000000000000e+00,9.043216705322265625e-04
6.000000000000000000e+00,8.854866027832031250e-04
6.000000000000000000e+00,9.262561798095703125e-04
6.000000000000000000e+00,9.217262268066406250e-04
6.000000000000000000e+00,9.019374847412109375e-04
6.000000000000000000e+00,9.105205535888671875e-04
6.000000000000000000e+00,9.055137634277343750e-04
6.000000000000000000e+00,9.372234344482421875e-04
6.000000000000000000e+00,8.985996246337890625e-04
6.000000000000000000e+00,8.947849273681640625e-04
6.000000000000000000e+00,9.231567382812500000e-04
6.000000000000000000e+00,9.250640869140625000e-04
6.000000000000000000e+00,1.034975051879882812e-03
6.000000000000000000e+00,9.677410125732421875e-04
6.000000000000000000e+00,9.489059448242187500e-04
6.000000000000000000e+00,9.355545043945312500e-04
6.000000000000000000e+00,9.193420410156250000e-04
6.000000000000000000e+00,8.900165557861328125e-04
6.000000000000000000e+00,9.126663208007812500e-04
6.000000000000000000e+00,9.043216705322265625e-04
6.000000000000000000e+00,9.200572967529296875e-04
